Patients with the CYP2C9 Diplotype *1/*1  display a CYP2C9 Normal Metabolizer phenotype with an activity score of 2.0. The corresponding EHR notation for this diplotype categorizes it as Normal/Routine/Low Risk.
Patients with the CYP2C9 Diplotype *1/*2  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*3  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.0. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*4  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*5  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*6  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.0. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*7  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*8  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*9  display a CYP2C9 Normal Metabolizer phenotype with an activity score of 2.0. The corresponding EHR notation for this diplotype categorizes it as Normal/Routine/Low Risk.
Patients with the CYP2C9 Diplotype *1/*10  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*11  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*12  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*13  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.0. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*14  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*15  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.0. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*16  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*17  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*18  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*19  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*20  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*21  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*22  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*23  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*24  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.0. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*25  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.0. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*26  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*27  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*28  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*29  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*30  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*31  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*32  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*33  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.0. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*34  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*35  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.0. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*36  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*37  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*38  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*39  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.0. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*40  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*41  display a CYP2C9 Indeterminate phenotype with an activity score of n/a. The corresponding EHR notation for this diplotype categorizes it as none.
Patients with the CYP2C9 Diplotype *1/*42  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.0. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*43  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.0. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
Patients with the CYP2C9 Diplotype *1/*44  display a CYP2C9 Intermediate Metabolizer phenotype with an activity score of 1.5. The corresponding EHR notation for this diplotype categorizes it as Abnormal/Priority/High Risk.
