,question,category,0,1,2,3,4,total_matches,success
0,What is the associated phenotype for the SLCO1B1 *1/*5 diplotype?,Diplotype Phenotype recognition,True,False,False,False,False,1,1
1,My patient has a SLCO1B1 *1/*10 diplotype. What is the phenotype for this diplotype?,Diplotype Phenotype recognition,False,True,False,False,False,1,1
2,My patient's PGx result indicates CYP2C9 *2 *6 diplotype. Does this mean she is a poor metabolizer?,Diplotype Phenotype recognition,False,True,False,False,False,1,1
3,What is the  phenotype for  SLCO1B1 *6/*31 diplotype?,Diplotype Phenotype recognition,False,False,False,False,False,0,0
4,"My patient has the ABCG2 rs2231142 reference on both alleles, is this mean she has normal function?",Diplotype Phenotype recognition,False,False,True,True,True,3,1
5,What are some diplotypes for SLCO1B1 Increased Function impacting statins?,Diplotype Phenotype recognition,False,False,False,False,True,1,1
6,A SLCO1B1 *1/*20 diplotype would have which phenotype?,Diplotype Phenotype recognition,False,False,False,False,False,0,0
7,Wht phenotype is associated with SLCO1B1 *14/*14 diplotype?,Diplotype Phenotype recognition,False,False,False,False,False,0,0
8,What is the associated phenotype for the CYP2C9 *2/*15 diplotype?,Diplotype Phenotype recognition,False,False,False,False,False,0,0
9,"List  SLCO1B1 diplotypes with a ""normal function"" phenotype.",Diplotype Phenotype recognition,True,True,True,True,True,5,1
10,My patient has ABCG2 decreased function. Can you tell me what variant he has?,Diplotype Phenotype recognition,True,False,True,False,False,2,1
11,My patient has rs2231142 variant (T) in the  ABCG2 gene. What is her phenotype?,Diplotype Phenotype recognition,True,False,False,False,False,1,1
12,My test results show rs2231142 variant and reference on ABCG2 gene. What does this mean?,Diplotype Phenotype recognition,True,False,False,True,False,2,1
13,My genetic test result shows CYP2C9 *12 *38 diplotype. What is the meaning of this?,Diplotype Phenotype recognition,False,False,True,False,False,1,1
14,What are the genotypes for CYP2C9 Normal Metabolizer impacting statins?,Diplotype Phenotype recognition,False,False,False,False,False,0,0
15,My patient has *1/*7 diplotype in the CYP2C9 gene. Does this have a known phenotype?,Diplotype Phenotype recognition,True,False,False,False,True,2,1
