Section,Rubric Category,4.0,2.0,3.0,5.0
Section1,Accuracy,5.0,5.0,2.0,1.0
Section1,Bias,13.0,,,
Section1,Hallucination,13.0,,,
Section1,Language,13.0,,,
Section1,Relevancy,3.0,6.0,4.0,
Section1,Risk,10.0,,,3.0
Section2,Accuracy,5.0,2.0,1.0,1.0
Section2,Bias,8.0,,,1.0
Section2,Hallucination,8.0,,,1.0
Section2,Language,8.0,,,1.0
Section2,Relevancy,5.0,3.0,,1.0
Section2,Risk,8.0,,,1.0
Section3,Accuracy,9.0,,1.0,1.0
Section3,Bias,8.0,,,3.0
Section3,Hallucination,10.0,,,1.0
Section3,Language,8.0,,,3.0
Section3,Relevancy,9.0,,,2.0
Section3,Risk,7.0,,,4.0
Overall,Accuracy,19.0,7.0,4.0,3.0
Overall,Bias,29.0,0.0,0.0,4.0
Overall,Hallucination,31.0,0.0,0.0,2.0
Overall,Language,29.0,0.0,0.0,4.0
Overall,Relevancy,17.0,9.0,4.0,3.0
Overall,Risk,25.0,0.0,0.0,8.0
