Section,Rubric Category,3.0,4.0,5.0,2.0
Section1,Accuracy,3.0,7.0,2.0,1.0
Section1,Bias,,7.0,6.0,
Section1,Hallucination,,12.0,1.0,
Section1,Language,,8.0,5.0,
Section1,Relevancy,,8.0,3.0,2.0
Section1,Risk,,7.0,6.0,
Section2,Accuracy,2.0,6.0,,1.0
Section2,Bias,,8.0,1.0,
Section2,Hallucination,,8.0,1.0,
Section2,Language,,6.0,3.0,
Section2,Relevancy,,6.0,1.0,2.0
Section2,Risk,,8.0,1.0,
Section3,Accuracy,2.0,6.0,2.0,1.0
Section3,Bias,,9.0,2.0,
Section3,Hallucination,,10.0,1.0,
Section3,Language,,7.0,4.0,
Section3,Relevancy,1.0,9.0,1.0,
Section3,Risk,,11.0,,
Overall,Accuracy,7.0,19.0,4.0,3.0
Overall,Bias,0.0,24.0,9.0,0.0
Overall,Hallucination,0.0,30.0,3.0,0.0
Overall,Language,0.0,21.0,12.0,0.0
Overall,Relevancy,1.0,23.0,5.0,4.0
Overall,Risk,0.0,26.0,7.0,0.0
