Section,Rubric Category,4.0,2.0,3.0,5.0,1.0
Section1,Accuracy,8.0,6.0,3.0,,2.0
Section1,Citations,1.0,15.0,,,3.0
Section1,Hallucination,10.0,6.0,1.0,2.0,
Section1,Language,13.0,,1.0,5.0,
Section1,Relevancy,8.0,5.0,4.0,2.0,
Section1,Risk,11.0,,1.0,7.0,
Section2,Accuracy,7.0,5.0,5.0,,3.0
Section2,Citations,1.0,19.0,,,
Section2,Hallucination,16.0,1.0,,3.0,
Section2,Language,11.0,,,9.0,
Section2,Relevancy,7.0,11.0,2.0,,
Section2,Risk,8.0,,,12.0,
Section3,Accuracy,5.0,2.0,,,1.0
Section3,Citations,,8.0,,,
Section3,Hallucination,6.0,1.0,,1.0,
Section3,Language,5.0,,,3.0,
Section3,Relevancy,4.0,3.0,1.0,,
Section3,Risk,4.0,,,4.0,
Overall,Accuracy,20.0,13.0,8.0,0.0,6.0
Overall,Citations,2.0,42.0,0.0,0.0,3.0
Overall,Hallucination,32.0,8.0,1.0,6.0,0.0
Overall,Language,29.0,0.0,1.0,17.0,0.0
Overall,Relevancy,19.0,19.0,7.0,2.0,0.0
Overall,Risk,23.0,0.0,1.0,23.0,0.0
