Section,Rubric Category,4.0,5.0,3.0,2.0
Section1,Accuracy,12.0,6.0,1.0,
Section1,Citations,5.0,12.0,1.0,1.0
Section1,Hallucination,12.0,7.0,,
Section1,Language,7.0,11.0,,1.0
Section1,Relevancy,12.0,5.0,1.0,1.0
Section1,Risk,6.0,13.0,,
Section2,Accuracy,13.0,7.0,,
Section2,Citations,15.0,2.0,1.0,2.0
Section2,Hallucination,13.0,7.0,,
Section2,Language,11.0,9.0,,
Section2,Relevancy,9.0,7.0,3.0,1.0
Section2,Risk,9.0,11.0,,
Section3,Accuracy,4.0,2.0,1.0,1.0
Section3,Citations,4.0,,1.0,3.0
Section3,Hallucination,6.0,1.0,1.0,
Section3,Language,6.0,1.0,,1.0
Section3,Relevancy,6.0,1.0,,1.0
Section3,Risk,5.0,3.0,,
Overall,Accuracy,29.0,15.0,2.0,1.0
Overall,Citations,24.0,14.0,3.0,6.0
Overall,Hallucination,31.0,15.0,1.0,0.0
Overall,Language,24.0,21.0,0.0,2.0
Overall,Relevancy,27.0,13.0,4.0,3.0
Overall,Risk,20.0,27.0,0.0,0.0
