question,category,answer,Unnamed: 3,success_mmr_5,success_similarity_5,success_mmr_10,success_similarity_10,success_mmr_20,success_similarity_20
What is the associated phenotype for the SLCO1B1 *1/*5 diplotype?,Diplotype Phenotype recognition,"[[""*1/*5"", ""SLCO1B1 Decreased Function""]]",,0,0,0,0,0,0
My patient has a SLCO1B1 *1/*10 diplotype. What is the phenotype for this diplotype?,Diplotype Phenotype recognition,"[[""*1/*10"", ""SLCO1B1 Indeterminate""]]",,0,0,0,0,0,0
My patient's PGx result indicates CYP2C9 *2 *6 diplotype. Does this mean she is a poor metabolizer?,Diplotype Phenotype recognition,"[[""*2/*6"", ""CYP2C9 Poor Metabolizer""]]",,1,1,1,1,1,1
What is the  phenotype for  SLCO1B1 *6/*31 diplotype?,Diplotype Phenotype recognition,"[[""*6/*31"", ""SLCO1B1 Possible Decreased Function""]]",,0,0,0,0,0,0
My patient has the ABCG2 rs2231142 reference on both alleles. is this mean she has normal function?,Diplotype Phenotype recognition,"[[""rs2231142 reference (G)/rs2231142 reference (G)"", ""ABCG2 Normal Function""]]",,1,1,1,1,1,1
What are some diplotypes for SLCO1B1 Increased Function impacting statins?,Diplotype Phenotype recognition,"[[""*14/*14"",""*14/*20"",""*20/*20"", ""SLCO1B1 Increased Function""]]",,1,1,1,1,1,1
A SLCO1B1 *1/*20 diplotype would have which phenotype?,Diplotype Phenotype recognition,"[[""*1/*20"", ""SLCO1B1 Normal Function""]]",,0,0,0,0,0,0
Wht phenotype is associated with SLCO1B1 *14/*14 diplotype?,Diplotype Phenotype recognition,"[[""*14/*14"",""SLCO1B1 Increased Function""]]",,0,0,0,0,0,0
What is the associated phenotype for the CYP2C9 *2/*15 diplotype?,Diplotype Phenotype recognition,"[[""*2/*15"",""CYP2C9 Poor Metabolizer""]]",,0,0,0,0,0,0
List SLCO1B1 diplotypes with a normal function phenotype.,Diplotype Phenotype recognition,"[[""*1/*1"",""*1/*14"",""*1/*20"",""*1/*37"",""*14/*37"",""*20/*37"",""*37/*37"", ""SLCO1B1 Normal Function""]]",,0,0,0,0,0,0
My patient has ABCG2 decreased function. Can you tell me what variant he has?,Diplotype Phenotype recognition,"[[""rs2231142 reference (G)/rs2231142 variant (T)"", ""ABCG2 Decreased Function""]]",,1,1,1,1,1,1
